Universidad,Ciudad,Año de Fundación,Rector,Descripción,Número de Estudiantes,Tipo,DBpedia_URI
Universidad de Cervera,Cervera,Desconocido,Desconocido,"La Universidad de Cervera es un edificio construido entre 1718 y 1740 ubicado en el municipio de Cervera, en la comarca de la Segarra (Lérida) España.",Desconocido,Desconocido,http://dbpedia.org/resource/University_of_Cervera
Universidad Rovira i Virgili,Reus,1991,http://dbpedia.org/resource/María_José_Figueras,"La Universidad Rovira i Virgili​ (URV) —en catalán Universitat Rovira i Virgili— es una universidad pública con centros en Tarragona, Reus, Vilaseca, Tortosa y Vendrell, que tiene como objetivos prioritarios la docencia y la investigación. Se denomina así en recuerdo de Antoni Rovira i Virgili. Ha sido reconocida como Campus de Excelencia Internacional Cataluña Sur. (CEICS) por el Ministerio de Educación. Desde 2013 dispone de una Unidad de Comunicación de la Ciencia y de la Innovación (UCC+i) -llamada ComCiència-​ para comunicar, difundir y divulgar la investigación científica que genera la universidad y los centros del CEICS, con el fin de mejorar e incrementar la formación, la cultura y los conocimientos científicos de los ciudadanos.​ La URV ha estado en el ranking 3 años consecutivos (2015, 2016 y 2017) entre las 500 mejores universidades del mundo, según la prestigiosa publicación británica Times Higher Education (THE).",12000,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/University_of_Rovira_i_Virgili
Universidad de Oviedo,Oviedo,Desconocido,http://dbpedia.org/resource/Ignacio_Villaverde,"La Universidad de Oviedo es una universidad pública ubicada en la ciudad de Oviedo (Asturias, España), con campus en Oviedo, Gijón y Mieres. Es la única universidad de la comunidad autónoma, donde no existen universidades privadas. Fue una de las diez universidades de España durante el siglo XIX. La Universidad de Oviedo forma parte como miembro fundador del Grupo 9 de Universidades (G9) españolas, creado en 1997 con el objetivo de promover la colaboración entre las instituciones universitarias que lo integran, tanto en lo que respecta a las actividades docentes e investigadoras como a las de gestión y servicios.",19298,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/University_of_Oviedo
Universidad de Jaén,Linares (Jaén),1993,Desconocido,"La Universidad de Jaén (UJA) es una universidad pública con sede en Jaén, Andalucía (España). Se trata de una universidad joven creada mediante la Ley 5/1993 del Parlamento de Andalucía de 1 de julio de 1993 con el objetivo de educar y albergar la nueva generación de científicos, economistas, ingenieros y profesionales de la salud. ​ Es la sucesora regional de la antigua Universidad de Baeza, que fue establecida en 1538 por el Papa Paulo III en el extinto Reino de Jaén y es ahora declarada Patrimonio de la Humanidad por la UNESCO.​ Posee la mayoría de sus centros en el Campus Las Lagunillas de Jaén aunque también posee centros en las ciudades jienenses de Linares y Úbeda. En septiembre de 2015 entró en funcionamiento el Campus Científico-Tecnológico de Linares. Antes de ser considerada una universidad independiente, varios centros de investigación fueron dependientes de la Universidad de Granada. Según el ranking publicado en 2021 por la revista Times Higher Education, la institución se sitúa entre las 100 mejores en seguir los Objetivos de Desarrollo Sostenible de la Organización Naciones Unidas, al promulgar la investigación, desarrollo y uso de la energía solar y fotovoltaica.​, también encontrándose entre las 50 mejores universidades de menos de cincuenta años.​",16990,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/University_of_Jaén
Universidad de León,León (España),1979,Desconocido,"La Universidad de León (UDL) es una universidad privada con sede en la ciudad de León, Guanajuato, México, que actualmente[¿cuándo?] cuenta con 18 planteles en diferentes municipios y estados del país.",13,http://dbpedia.org/resource/Public_University,http://dbpedia.org/resource/University_of_León
Universidad de Sevilla,Sevilla,Desconocido,Desconocido,"La Universidad de Sevilla (US) es una universidad pública con sede en Sevilla, Andalucía (España). Es una de las dos universidades públicas de Sevilla, junto con la Universidad Pablo de Olavide. Es la tercera universidad española en número de estudiantes y la primera de Andalucía, así como una de las más antiguas, con más de 500 años. En el Ranking de Times Higher Education​ se encuentra entre las 600-800 mejores universidades y entre las mejores 400 en Ingeniería y Tecnología y también en Ciencias informáticas a nivel mundial en 2019. Más de ochenta mil personas integran la comunidad universitaria entre alumnos, profesores y profesionales de administración y servicios. Cuenta con un notable patrimonio histórico artístico, en el que destacan siete edificios declarados Bien de Interés Cultural, miles de obras de arte,​ así como un importante archivo histórico.​ Es impulsora, junto con la Universidad de Málaga, del proyecto Andalucía TECH, que obtuvo la categoría de Campus de Excelencia Internacional otorgada por el Ministerio de Educación español.​ La Biblioteca de la Universidad de Sevilla, con 1.507.097 volúmenes, es la tercera biblioteca universitaria más grande de España después de la Biblioteca de la Universidad Complutense de Madrid y la Biblioteca de la Universidad de Barcelona.​",69,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/University_of_Seville
Universidad de Vigo,Vigo,Desconocido,Desconocido,"La Universidad de Vigo (UVigo) es una universidad pública con sede en Vigo, España. Tiene campus en tres ciudades: Vigo, Pontevedra y Orense. La Universidad de Vigo desarrolla su actividad con independencia administrativa dentro del Sistema universitario de Galicia y forma parte de la Comisión Interuniversitaria de Galicia (CiUG), órgano perteneciente a la Consejería de Educación y Ordenación Universitaria de la Junta de Galicia. En el 2010 la universidad se convirtió en centro del campus de excelencia internacional interuniversitario Campus del Mar, en el que participan las tres universidades gallegas y varias del norte de Portugal, así como también el IEO y CSIC.​​",18577,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/University_of_Vigo
Universidad de La Laguna,San Cristóbal de La Laguna,reorganized in 1989,Desconocido,"La Universidad de La Laguna (ULL) es una universidad pública situada en la ciudad de San Cristóbal de La Laguna, en Tenerife (España). Es el centro de educación superior más antiguo de Canarias, con más de doscientos veinte años de historia. Actualmente, está compuesta por más de 25.000 personas, entre alumnado, profesorado y personal de administración y servicios. Para el curso universitario 2018/2019, la Universidad ofrece 18 títulos propios de posgrado, que si se suman a la oferta oficial de especialización, de 33 másteres oficiales, dan lugar a 51 propuestas de posgrado de este centro académico. 46 grados universitarios y 52 programas de doctorado verificados con el Real Decreto de Doctorado 99/2011 La ULL se halla en un proceso de renovación interna en el cual se potenciarán las nuevas tecnologías de la información y la educación telemática, centralizada en su Unidad de Docencia Virtual. La posición tricontinental estratégica de Canarias emplaza a sus universidades a adoptar una posición de referencia y liderazgo en la región atlántica que ocupan.​",Desconocido,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/University_of_La_Laguna
Universidad de Murcia,Murcia,1915,Desconocido,"La Universidad de Murcia (UM) es una universidad pública española ubicada en la Región de Murcia (España). Sus centros se encuentran distribuidos en cinco campus. Fundada originalmente en 1272​bajo la corona de Castilla y posteriormente en 1915.​Tiene más de 34.000 alumnos​y una universidad con reconocimiento a nivel nacional e internacional. Pertenece al programa Campus de Excelencia Internacional en el proyecto ""Campus Mare Nostrum"" junto a la Universidad Politécnica de Cartagena.",Desconocido,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/University_of_Murcia
Universidad de Santiago (estación),Santiago de Compostela,Desconocido,Desconocido,"La Universidad de Santiago de Compostela (en gallego y oficialmente Universidade de Santiago de Compostela - USC) es una universidad pública con sede en Santiago de Compostela, Galicia (España), y campus en Santiago de Compostela y Lugo. Fue fundada en 1495 por Lope Gómez de Marzoa y es, con sus más de 500 años, la universidad de más larga tradición de Galicia, y una de las más antiguas del mundo. Ya desde sus inicios, la Universidad gozó de un importante impulso cultural y económico bajo el arzobispado de Alonso III de Fonseca, hombre culto, mecenas y amigo de Erasmo de Róterdam. Así, desde principios del siglo XVI, la Universidad contará con varios Colegios Universitarios donde se impartirán estudios de Teología, Gramática y Arte, oferta formativa que se verá pronto completada con las carreras de Derecho y Medicina. La USC tendrá gran importancia durante el período de la Ilustración, por lo que el rey Carlos III distinguirá a esta Universidad con el título de Real y añadirá el símbolo de la Corona que, junto con las armas de Castilla, León y Galicia, y los emblemas de los fundadores de la institución, conforman el blasón de la Universidad. Poco después, los estudiantes dieron ejemplo de patriotismo formando el famoso Batallón Literario que combatió contra los franceses durante la Guerra de Independencia Española. En el siglo XX se produjo un espectacular crecimiento en el número de estudiantes y titulaciones ofertadas, por lo que surgen nuevas facultades y campus universitarios, creándose además dos nuevas instituciones (la Universidad de Vigo y la Universidad de La Coruña) que complementarán la oferta educativa de la Universidad capitolina. Actualmente la Universidad está finalizando la adaptación al EEES y oferta una gran cantidad de títulos de grado, máster y doctorado de todas las áreas de conocimiento.En el año 2009 la USC ha sido reconocida por su proyecto Campus Vida como Campus de Excelencia Internacional por el Ministerio de Educación, distinción que la sitúa entre las 9 mejores universidades del país. El objetivo de la universidad a corto plazo es convertirse en uno de los 100 mejores campus biosanitarios de la Unión Europea. La Biblioteca de la Universidad de Santiago de Compostela, con 1 227 796 volúmenes, es la quinta biblioteca universitaria más grande de España tras la Biblioteca de la Universidad Complutense de Madrid y las bibliotecas de la Universidad de Barcelona, la Universidad de Sevilla y la Universidad de Valencia.​ Por otro lado, cuenta con un repostiorio en línea, donde se pueden consultar libros, revistas, Trabajos de Fin de Grado (TFG), Trabajos de Fin de Máster (TFM), tesis... Y PreLo una plataforma de préstamo de libros en línea, que funciona igual que una biblioteca física pero con documentos en formato PDF y ebook.",Desconocido,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/University_of_Santiago_de_Compostela
Universidad de Vich - Universidad Central de Cataluña,Vic,1599,http://dbpedia.org/resource/Josep_Eladi_Baños,"La Universidad de Vich - Universidad Central de Cataluña​​ (en catalán Universitat de Vic - Universitat Central de Catalunya), reconocida por la Ley del Parlamento de Cataluña 5/1997, de 30 de mayo, es una universidad, regida por la Fundación Universitaria Balmes, que preside la alcaldesa de Vich, establecida en Vich y Manresa. Es miembro de la Red de Universidades Instituto Joan Lluís Vives.​ Es una institución dedicada a la educación superior y a la investigación mediante la docencia y la formación continuada, y tiene sus fundamentos en el principio de autonomía universitaria, expresada en la libertad de cátedra, de investigación y de estudio. El emblema de la Universidad de Vich - Universidad Central de Cataluña es la A de Carlomagno, pieza de orfebrería carolingia que simboliza los principios del saber y su expansión ilimitada. La divisa que orienta a la universidad, Scientiae patriaeque impendere vitam, es un verso de Lucano que significa ""Dedicar la vida al servicio de la ciencia y la comunidad"".",15,Desconocido,http://dbpedia.org/resource/University_of_Vic_-_Central_University_of_Catalonia
Universidad de Lérida,Lérida,Desconocido,Desconocido,"La Universidad de Lérida (oficialmente y en catalán, Universitat de Lleida)​ es una universidad pública española situada en Lérida. Es heredera del medieval .​",10625,Desconocido,http://dbpedia.org/resource/University_of_Lleida
Parque Científico de la Universidad de Valencia,Paterna,Desconocido,Desconocido,"El Parque Científico de la Universidad de Valencia (PCUV), oficialmente en valenciano, Parc Científic de la Universitat de València, es una iniciativa orientada a estrechar los vínculos entre el potencial científico universitario y el sistema productivo, generando conocimiento, fomentando los procesos de innovación, impulsando la creación de empresas de base científico-técnica y contribuyendo, así, al desarrollo económico y social de nuestro entorno. Es un instrumento esencial de la Universidad para desarrollar, junto a la docencia y la investigación científica, su tercera misión: la transferencia de conocimientos. Difunde y explota los resultados de investigación en la sociedad, contribuyendo al desarrollo regional basado en el conocimiento. Es, en suma, un conjunto estructurado de recursos que operan como nexo entre la ciencia y el entorno productivo y donde las empresas se nutren de ideas. En un ambiente académico, junto a diferentes centros de investigación de la Universitat de València y del Consejo Superior de Investigaciones Científicas (CSIC), el PCUV proporciona espacios y presta servicios a empresas derivadas de la investigación universitaria –spin-off– y a compañías externas o departamentos de I+D empresariales con contenidos afines a la naturaleza de este organismo para la innovación, cuya misión es generar empleo, riqueza y bienestar mediante la rentabilización social del conocimiento. El PCUV dispone de un área científica compuesta por seis institutos de investigación, dos centros singulares y una importante infraestructura de servicios y equipamientos para la investigación; y de un área empresarial que actualmente aloja a más de ochenta empresas jóvenes o ya consolidadas, principalmente de los sectores de Biotecnología y Tecnologías de la Información y la Comunicación (TIC). El PCUV forma parte del VLC/CAMPUS que tiene el reconocimiento como Campus de Excelencia Internacional por el Gobierno de España. Además, el PCUV es Oficina Técnica de la RedEmprendia (Red Universitaria Iberoamericana de Incubación de Empresas), que posibilita la expansión de las empresas afines a los Parques Científicos de las Universidades que componen dicha red. También es miembro de la rePCV (Red de Parques Científicos Valencianos), APTE (Asociación de Parques Científicos y Tecnológicos de España) y la IASP (International Association of Science and Technology Parks). La Fundació Parc Científic Universitat de València El 9 de marzo de 2009 se constituyó la Fundació Parc Científic Universitat de València,​ constituida bajo la tutela del protectorado de la Generalidad Valenciana, cuyos patronos fundadores son: Fundación Bancaja, Banco Santander, Cámara de Comercio de Valencia y la Confederación Empresarial Valenciana, además de la Universitat de València. Esta fundación es la entidad gestora del PCUV y su objeto social es promover el desarrollo tecnológico, la transferencia de conocimientos y la innovación industrial, entre otros.",Desconocido,Desconocido,http://dbpedia.org/resource/University_of_Valencia_Science_Park
Hegoa,Lejona,Desconocido,http://dbpedia.org/resource/Eva_Ferreira,"La Universidad del País Vasco (en euskera: Euskal Herriko Unibertsitatea; UPV/EHU), anteriormente la Universidad Autónoma de Bilbao, es la universidad pública del País Vasco. Cuenta con más de 35 000 estudiantes y pertenece al Grupo 9 de Universidades. Inicialmente estaba compuesta por las facultades de Ciencias Económicas y Empresariales de Sarriko (1955), Medicina (1968) y Ciencias (1968). Se les unieron, con la Ley General de Educación, la Escuela Náutica (1739), la Escuela Universitaria de Estudios Empresariales de Bilbao (1818) y las Escuelas Técnicas de Ingenieros (1897), hasta llegar a la veintena de centros que la componen en la actualidad, repartidos en tres campus: el campus de Vizcaya, el campus de Guipúzcoa y el campus de Álava. Su lema es Dalo y difúndelo (en euskera Eman ta zabal zazu), que es a su vez un verso del Gernikako Arbola, un himno vasco del siglo XIX.​ Su logotipo, que representa el Árbol de la Ciencia, fue diseñado por el escultor Eduardo Chillida a comienzos de los 80,​​ y se convirtió en símbolo reivindicativo en la Transición.[cita requerida] La actual rectora es Eva Ferreira, que tomó posesión de su cargo el 25 de enero de 2021.​",44921,http://dbpedia.org/resource/Public_University,http://dbpedia.org/resource/University_of_the_Basque_Country
Universidad de Zaragoza,Provincia de Zaragoza,As the School of Zaragoza,Desconocido,"La Universidad de Zaragoza es un centro de educación superior público repartido geográficamente entre los campus de Zaragoza, Huesca, Jaca, Teruel y La Almunia de Doña Godina, todos ellos en la comunidad autónoma de Aragón (España). Fundada en 1542, reúne en 2014 a más de 30 000 estudiantes y 3000 miembros docentes​ entre sus 22 centros y 74 titulaciones y estudios propios. Su actual rector es José Antonio Mayoral Murillo.​",36492,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/University_of_Zaragoza
Universidad Católica de Valencia San Vicente Mártir,Valencia,2003,http://dbpedia.org/resource/Asunción_Gandía_Balaguer,"La Universidad Católica de Valencia ""San Vicente Mártir"" es una universidad privada y católica, con sede en Valencia, Comunidad Valenciana (España) y con campus en Valencia, Godella, Burjasot, Torrente, Alcira y Játiva. En ella se imparten 27 títulos de Grado, 18 Dobles Titulaciones y más de 100 Másteres y Posgrados. Cuenta con 11 Cátedras y 20 Institutos de Investigación, 543 investigadores, 76 Grupos de Investigación y se desarrollan 28 programas de voluntariado a nivel local y 2 a nivel internacional. Además el 86% de sus graduados trabajan en un puesto relacionado con sus estudios.",13,Desconocido,http://dbpedia.org/resource/Valencia_Catholic_University_Saint_Vincent_Martyr
Escuela Superior de Enseñanzas Técnicas,Alfara del Patriarca,1987,Desconocido,"La Escuela Superior de Enseñanzas Técnicas (cuyo acrónimo es ESET) es una escuela de Arquitectura, Diseño Industrial e Ingeniería perteneciente a la Universidad CEU Cardenal Herrera de carácter privada. Las titulaciones que imparte son las de Arquitectura, Diseño Industrial y varias variantes de Ingeniería. Completa su programa educativo con dos Máster de Arquitectura: Diseño Arquitectónico Sostenible y Evaluación Energética de la Edificación y el de Industrialización y Prefabricación Arquitectónica. En el caso de Diseño cuenta con el Máster en Ingeniería del Diseño.",Desconocido,Desconocido,http://dbpedia.org/resource/ESET_Technical_School_of_Engineering
Instituto de Arquitectura Avanzada de Cataluña,Barcelona,Desconocido,Desconocido,"El Instituto de Arquitectura Avanzada de Cataluña (en catalán, Institut d'Arquitectura Avançada de Catalunya, IAAC) es un centro educativo y de investigación dedicado al desarrollo de una arquitectura capaz de hacer frente a los desafíos mundiales en la construcción de la habitabilidad a principios del siglo XXI. Con sede en el distrito 22@ de Barcelona, una de las capitales mundiales de la arquitectura y el urbanismo, IAAC es una plataforma para el intercambio de conocimiento con profesores y estudiantes de más de 40 países, incluidos Estados Unidos, China, India, Noruega, Polonia, Italia y México, Perú y Sudán. Los estudiantes trabajan simultáneamente en múltiples escalas (ciudad, construcción, fabricación) y en diferentes áreas de especialización (ecología, energía, fabricación digital, nuevas tecnologías), siguiendo sus propias líneas de investigación en el camino hacia el desarrollo de un conjunto integrado de habilidades con las cuales puedan actuar de manera efectiva en su país de origen o en todo el mundo. El IAAC ha llevado a cabo proyectos de investigación en Brasil, Taiwán, Croacia y Rumania. En 2008 fue elegida para participar en la sección oficial de la Bienal de Venecia con el proyecto Hyperhabitat y en 2010 presentó una casa a escala 1:1 en el Solar Decathlon Europe de Madrid donde ganó el premio Peoples Choice Award que cuenta con el laboratorio de producción digital más avanzado de cualquier institución educativa del sur de Europa, con cortadoras láser, impresoras 3D, fresadoras y una plataforma para la fabricación de chips. IAAC también diseñó el primer puente impreso en 3D del mundo en colaboración con Acciona, que se construyó en Alcobendas (España) en 2016. IAAC ofrece una amplia gama de programas educativos en el campo de la arquitectura avanzada, los edificios ecológicos, la ciudad y la tecnología, la robótica y la construcción avanzada, y el diseño para los futuros emergentes que están acreditados por la Universidad Politécnica de Cataluña (UPC). El Instituto es una fundación abierta, independiente y radical sin ánimo de lucro inspirada en los valores de Barcelona, la capital de la arquitectura y el diseño, donde se inventó el urbanismo y donde una investigación local orientada a la innovación está conectada a una red internacional de excelencia en los campos de la tecnología, la arquitectura y la sociedad. El IAAC, más allá de su trabajo educativo y de investigación, es una comunidad estable, interdisciplinaria y multicultural que busca el contacto y la cooperación permanente entre los cientos de profesores, investigadores, instituciones y empresas que persiguen el objetivo de aportar soluciones a los grandes retos de la humanidad. El Instituto es un centro de innovación que incluye en su organización laboratorios de investigación para la autosuficiencia como Valldaura Labs y el laboratorio de fabricación digital Fab Lab Barcelona, que forma parte de la red global de Fab Labs afiliados al Centro de Bits y Atómos (CBA) del MIT Media Lab.",Desconocido,Desconocido,http://dbpedia.org/resource/Institute_for_Advanced_Architecture_of_Catalonia
Universidad Internacional de La Rioja,Logroño,october 2009,http://dbpedia.org/resource/José_M.ª_Vázquez_García-Peñuela,"La Universidad Internacional de La Rioja (UNIR), es una universidad privada española de educación a distancia con sede central en Logroño y presencia en México, Colombia, Ecuador y Perú. A mediados de 2020 contaba con más de 48.000 alumnos en estudios oficiales,​ de los cuales más de 17.000 son internacionales.​ UNIR tiene más de 108 titulaciones oficiales de Grado y Máster avaladas por la ANECA, 84 títulos propios y estudios avanzados y 3 programas de doctorado en sus facultades de Educación, Empresa y Comunicación, Derecho, Ciencias Sociales y Humanidades, y Ciencias de la Salud; así como en su Escuela Superior de Ingeniería y Tecnología, su Escuela de Idiomas y su Escuela de Doctorado.​",45000,Desconocido,http://dbpedia.org/resource/International_University_of_La_Rioja
Universidad Pontificia Comillas,Madrid,Desconocido,http://dbpedia.org/resource/Society_of_Jesus,"La Universidad Pontificia Comillas es una universidad privada española, dirigida por la Compañía de Jesús, con sede en Madrid (España) y campus en Madrid, Cantoblanco y Ciempozuelos. Fue fundada en Comillas (Cantabria) en 1890. Sus facultades se conocen bajo las marcas ICAI, ICADE y CIHS. Se trata de una de las universidades privadas más conocidas de España. Pese a que el número de estudiantes de Comillas no llega al 1 % de universitarios españoles, es el alma mater de un gran número de empresarios, políticos, juristas, investigadores y altos cargos de la Administración española y de la Iglesia católica.​ Así, de los 50 mejores CEO de España según Forbes,​ el 20 % eran alumni de Comillas. En 2021, de los CEO de las empresas del IBEX 35, el 17 % estudiaron en Comillas, 3 en ICAI y 3 en ICADE.​",11149,http://dbpedia.org/resource/Pontifical,http://dbpedia.org/resource/Comillas_Pontifical_University
Saint Louis University Madrid Campus,Madrid,Desconocido,Desconocido,"Saint Louis University ─ Madrid Campus es la filial en España de la Universidad de San Luis en Misuri, ubicada en Madrid. Saint Louis University es una universidad privada, católica (jesuita) fundada en 1818 en los Estados Unidos de América.",Desconocido,http://dbpedia.org/resource/Satellite_campus,http://dbpedia.org/resource/Saint_Louis_University_Madrid_Campus
